book_id,title,author,isbn,publisher,year,edition,department,subject,copies_total,copies_available,shelf_location,language,description,tags
B001,Introduction to Algorithms,Thomas H. Cormen,9780262046305,MIT Press,2022,4th,Computer Science,Data Structures & Algorithms,5,2,CS-A1,English,Comprehensive introduction to algorithms with rigorous analysis,algorithms;data structures;programming;cs fundamentals
B002,Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,9780132847377,Pearson,2014,4th,Computer Science,Data Structures,4,1,CS-A2,English,Detailed coverage of data structures using C++ with algorithm analysis,data structures;c++;algorithms;weiss
B003,Operating System Concepts,Abraham Silberschatz,9781119800361,Wiley,2021,10th,Computer Science,Operating Systems,6,3,CS-B1,English,Classic OS textbook covering processes memory file systems and I/O,operating systems;processes;memory management;silberschatz
B004,Computer Networks,Andrew S. Tanenbaum,9780133499452,Pearson,2021,6th,Computer Science,Computer Networks,4,0,CS-B2,English,Complete guide to computer networking protocols and architectures,networking;protocols;TCP/IP;tanenbaum
B005,Database System Concepts,Abraham Silberschatz,9780078022159,McGraw-Hill,2019,7th,Computer Science,Databases,5,3,CS-C1,English,Foundational database textbook covering SQL transactions and concurrency,databases;SQL;transactions;relational model
B006,Artificial Intelligence: A Modern Approach,Stuart Russell,9780134610993,Pearson,2020,4th,Computer Science,Artificial Intelligence,3,1,CS-D1,English,The definitive AI textbook covering search learning planning and more,artificial intelligence;machine learning;search;russell;norvig
B007,Pattern Recognition and Machine Learning,Christopher Bishop,9780387310732,Springer,2006,1st,Computer Science,Machine Learning,3,0,CS-D2,English,Comprehensive Bayesian treatment of pattern recognition and ML,machine learning;pattern recognition;bayesian;bishop
B008,Deep Learning,Ian Goodfellow,9780262035613,MIT Press,2016,1st,Computer Science,Deep Learning,4,2,CS-D3,English,Textbook on deep learning covering neural networks and optimization,deep learning;neural networks;goodfellow;bengio
B009,Computer Organization and Design,David A. Patterson,9780128203316,Morgan Kaufmann,2020,6th,Computer Science,Computer Architecture,4,2,CS-E1,English,RISC-V edition covering processor design and memory hierarchy,computer architecture;RISC-V;Patterson;Hennessy
B010,Software Engineering,Ian Sommerville,9780133943030,Pearson,2015,10th,Computer Science,Software Engineering,5,4,CS-F1,English,Comprehensive coverage of software engineering processes and practices,software engineering;agile;requirements;sommerville
B011,Engineering Mathematics,K.A. Stroud,9780831134709,Industrial Press,2020,8th,Engineering,Mathematics,8,5,ENG-A1,English,Comprehensive engineering mathematics from basics to advanced topics,mathematics;calculus;linear algebra;differential equations;engineering
B012,Fluid Mechanics,Frank M. White,9781260258318,McGraw-Hill,2021,9th,Mechanical Engineering,Fluid Mechanics,4,2,ME-A1,English,Classical and modern treatment of fluid mechanics for engineers,fluid mechanics;thermodynamics;flow;mechanical engineering
B013,Thermodynamics: An Engineering Approach,Yunus A. Cengel,9781260048667,McGraw-Hill,2019,9th,Mechanical Engineering,Thermodynamics,5,3,ME-A2,English,Highly accessible thermodynamics textbook with engineering applications,thermodynamics;heat transfer;energy;cengel
B014,Structural Analysis,R.C. Hibbeler,9780134610672,Pearson,2018,10th,Civil Engineering,Structural Analysis,4,2,CE-A1,English,Classical structural analysis methods for civil engineering students,structural analysis;civil engineering;beams;frames;hibbeler
B015,Engineering Circuit Analysis,William Hayt,9781260404999,McGraw-Hill,2019,9th,Electrical Engineering,Circuit Theory,5,4,EE-A1,English,Comprehensive circuit analysis textbook from fundamentals to advanced,circuit analysis;electrical engineering;KVL;KCL;hayt
B016,Signals and Systems,Alan V. Oppenheim,9780138147570,Pearson,1997,2nd,Electrical Engineering,Signals & Systems,4,1,EE-B1,English,Definitive treatment of continuous and discrete signals and systems,signals;systems;Fourier;Laplace;oppenheim
B017,Digital Signal Processing,John G. Proakis,9780131873742,Pearson,2006,4th,Electrical Engineering,DSP,3,2,EE-B2,English,Comprehensive coverage of digital signal processing theory and algorithms,DSP;digital filters;FFT;proakis
B018,Microelectronics Circuit Analysis and Design,Donald Neamen,9780073380643,McGraw-Hill,2009,4th,Electrical Engineering,Electronics,4,2,EE-C1,English,Covers BJT MOSFET amplifiers operational amplifiers and feedback,microelectronics;BJT;MOSFET;op-amp;neamen
B019,Organic Chemistry,Paula Yurkanis Bruice,9780134042282,Pearson,2016,8th,Chemistry,Organic Chemistry,6,3,CHEM-A1,English,Mechanistic approach to organic chemistry with biological applications,organic chemistry;reactions;mechanisms;bruice
B020,Physical Chemistry,Peter Atkins,9780198847816,Oxford University Press,2022,11th,Chemistry,Physical Chemistry,4,2,CHEM-B1,English,Thorough coverage of quantum mechanics thermodynamics and kinetics,physical chemistry;quantum mechanics;thermodynamics;atkins
B021,University Physics,Hugh D. Young,9780135159552,Pearson,2019,15th,Physics,General Physics,8,6,PHY-A1,English,Calculus-based physics textbook for science and engineering students,physics;mechanics;electromagnetism;optics;young
B022,Concepts of Modern Physics,Arthur Beiser,9780073107578,McGraw-Hill,2003,6th,Physics,Modern Physics,4,3,PHY-B1,English,Introductory treatment of relativity quantum mechanics and nuclear physics,modern physics;quantum;relativity;nuclear;beiser
B023,Calculus,James Stewart,9781285740621,Cengage,2016,8th,Mathematics,Calculus,10,7,MATH-A1,English,The leading calculus textbook with clear explanations and applications,calculus;differential;integral;series;stewart
